News,Category
மராட்டியம்: பள்ளிகளில் இந்தி மொழி கட்டாயம் என அறிவிப்பு, தேசிய செய்திகள் 
வக்பு திருத்த சட்டத்துக்கு எதிரான வழக்கு: இடைக்கால உத்தரவு பிறப்பித்தது சுப்ரீம்கோர்ட்டு, தேசிய செய்திகள் 
குஜராத்:  அரசு பஸ்-ஆட்டோ மோதல்; 6 பேர் பலி, தேசிய செய்திகள் 
இறந்து போனதாக அறிவிக்கப்பட்ட ராணுவ வீரர்:  16 ஆண்டுகளுக்கு பின்  திரும்பி வந்ததால் அதிர்ச்சி, தேசிய செய்திகள் 
புனித வெள்ளியை ஒட்டி புதுச்சேரி முதல்-மந்திரி ரங்கசாமி பிரார்த்தனை, தேசிய செய்திகள் 
வக்பு சட்டம் அரசியலமைப்புக்கு விரோதமானது-  பினராயி விஜயன் தாக்கு, தேசிய செய்திகள் 
ரீல்ஸ் மோகம்...கங்கையில் அடித்து செல்லப்பட்ட பெண்; அம்மா... அம்மா... என கதறிய சிறுமி, தேசிய செய்திகள் 
நக்சலிசத்தை ஒழிப்பதில் மத்திய ஆயுதப்படைகள் முக்கிய பங்கு வகிக்கும்: அமித் ஷா பேச்சு, தேசிய செய்திகள் 
அடுத்த வாரம்  அமெரிக்கா செல்கிறார் ராகுல் காந்தி, தேசிய செய்திகள் 
சபரிமலை அருகே அய்யப்ப பக்தர்கள் சென்ற கேரள அரசு பஸ் மீது மரம் விழுந்து விபத்து, தேசிய செய்திகள் 
இன்றைய முக்கிய செய்திகள் சிலவரிகளில்.. 17-04-2025, தேசிய செய்திகள் 
டெல்லி மெட்ரோவில் பெண்கள் பஜனை பாடியதால் பரபரப்பு, தேசிய செய்திகள் 
காங்கோவில் படகு விபத்து: 50 பேர் பலியான சோகம், உலக செய்திகள் 
உலகின் செல்வாக்கு மிகுந்தவர்கள் பட்டியல்:  இந்தியர்களுக்கு இடம் இல்லை, உலக செய்திகள் 
திருநங்கைகளை பெண்களாக வரையறுக்க முடியாது - இங்கிலாந்து கோர்ட்டு தீர்ப்பு, உலக செய்திகள் 
ரஷியா: நவால்னி கூட்டாளிகளுக்கு ஐந்தரை ஆண்டுகள் சிறை - மாஸ்கோ கோர்ட்டு தீர்ப்பு, உலக செய்திகள் 
காசா போர் எதிரொலி; இஸ்ரேல் பயணிகள் மாலத்தீவிற்குள் நுழைய தடை, உலக செய்திகள் 
சீனாவில் நிலநடுக்கம்: ரிக்டரில் 4.1 ஆக பதிவு, உலக செய்திகள் 
நைஜீரியாவில் 5 ஆயிரம் அரியவகை எறும்புகள் கடத்தல் - 2 சிறுவர்கள் கைது, உலக செய்திகள் 
அமெரிக்க துணை ஜனாதிபதி 5 நாட்கள் இந்தியாவில் சுற்றுப்பயணம், உலக செய்திகள் 
பாகிஸ்தானில் போர் விமானம் விழுந்து நொறுங்கி தீப்பிடித்தது, உலக செய்திகள் 
தீவிரமடையும் வர்த்தகப்போர்: சீன பொருட்கள் மீது 245 சதவீத வரி - அமெரிக்கா அதிரடி, உலக செய்திகள் 
ஆப்கானிஸ்தானில் நிலநடுக்கம்: ரிக்டர் அளவில் 5.9 ஆக பதிவு, உலக செய்திகள் 
காசா மருத்துவமனை மீது இஸ்ரேல் ஏவுகணை தாக்குதல் - 10 பேர் படுகாயம், உலக செய்திகள் 
சூப்பர் ஓவரில் பேட்டிங் செய்ய களமிறங்காதது ஏன் ?  நிதிஷ் ராணா விளக்கம், விளையாட்டு 
டெல்லி அணியின் பயிற்சியாளருக்கு அபராதம் விதித்த ஐ.பி.எல். நிர்வாகம்.. காரணம் என்ன..?, விளையாட்டு 
கடைசி ஓவரை அப்படி நினைத்துதான் வீசினேன் - ஆட்ட நாயகன் ஸ்டார்க், விளையாட்டு 
சாம்பியன்ஸ் லீக்: ரியல் மாட்ரிட் அணியை வீழ்த்தி அரையிறுதிக்கு முன்னேறிய அர்செனல், விளையாட்டு 
வீரர்களின் பேட் சோதனை விவகாரம்: ஐதராபாத் பயிற்சியாளர் கருத்து, விளையாட்டு 
அதனால்தான் அவர் ஒரு ஜாம்பவான் - ராஜஸ்தானுக்கு எதிரான வெற்றிக்குப்பின் அக்சர், விளையாட்டு 
பார்டர் - கவாஸ்கர் கோப்பை தோல்வி எதிரொலி: இந்திய பயிற்சியாளர்கள் நீக்கம்..?, விளையாட்டு 
தோனி கிரிக்கெட்டின் பாகுபலி - இந்திய முன்னாள் வீரர் புகழாரம், விளையாட்டு 
பார்டர் - கவாஸ்கர் கோப்பை: கடைசி போட்டியிலிருந்து விலகியது ஏன்..? மனம் திறந்த ரோகித் சர்மா, விளையாட்டு 
ஐ.பி.எல்.: வரலாறு படைத்த டெல்லி கேப்பிடல்ஸ், விளையாட்டு 
2028 ஒலிம்பிக்ஸ்: கிரிக்கெட் போட்டி நடைபெறும் இடம் அறிவிப்பு, விளையாட்டு 
ஐ.பி.எல்.: ஒரு ஓவரில் 11 பந்துகள்.. மோசமான சாதனை படைத்த சந்தீப் சர்மா, விளையாட்டு 
தமிழகத்தில் இன்று முதல் 23-ம் தேதி வரை மிதமான மழைக்கு வாய்ப்பு, வானிலை 
3 மாவட்டங்களில் அதிகாலை 4 மணி வரை மழைக்கு வாய்ப்பு, வானிலை 
5 மாவட்டங்களில் நள்ளிரவு 1 மணி வரை மழைக்கு வாய்ப்பு, வானிலை 
தமிழ்நாட்டில் இரண்டு இடங்களில் சதமடித்த வெயில், வானிலை 
15 மாவட்டங்களில் இரவு 10 மணி வரை மழைக்கு வாய்ப்பு, வானிலை 
19 மாவட்டங்களில் இரவு 7 மணி வரை மழைக்கு வாய்ப்பு, வானிலை 
அடுத்த 6 நாட்களுக்கு மழைக்கு வாய்ப்பு.. வெளியான முக்கிய அறிவிப்பு, வானிலை 
காலை 10 மணிவரை 5 மாவட்டங்களில் மழைக்கு வாய்ப்பு, வானிலை 
தமிழகத்தில் தென்மெற்கு பருவமழை இயல்பைவிட குறையும் - வானிலை மையம் தகவல், வானிலை 
வழக்கம்போல் வேலூரில் சதமடித்த வெயில்..சென்னையில் குறைவு, வானிலை 
தமிழகத்தை சுட்டெரிக்கும் வெயில்; 6 இடங்களில் சதம், வானிலை 
இரவு 7 மணிவரை 10 மாவட்டங்களில் மழைக்கு வாய்ப்பு, வானிலை 
"சூர்யாவின் ""ரெட்ரோ"" படத்திற்கு ""யு/ஏ"" தணிக்கை சான்றிதழ்", சினிமா 
சூரியின் புதிய பட அறிவிப்பை வெளியிட்ட படக்குழு, சினிமா 
இயக்குனர்கள் மூன்று வகை.. அதில் நான் இந்த வகை - சுந்தர் சி, சினிமா 
புதிய போஸ்டரை வெளியிட்ட 'தக் லைப்' படக்குழு, சினிமா 
பிரமாண்டமாக உருவாகும் துல்கர் சல்மானின் அடுத்த படம், சினிமா 
சிறந்த நடிகருக்கான விருதை வென்ற பிருத்விராஜ், சினிமா 
சமூக வலைத்தளங்களில் ஆக்டிவாக இல்லாதது ஏன்? - நஸ்ரியா விளக்கம், சினிமா 
மீண்டும் ரஜினியுடன் கைகோர்க்கும் கார்த்திக் சுப்பராஜ், சினிமா 
இந்த வாரம் ஓ.டி.டி.யில் வெளியாகும் படங்கள் - 14.04.25 முதல் 20.04.25 வரை, சினிமா 
சுந்தர் சி இயக்கத்தில் நடிக்கும் கார்த்தி!, சினிமா 
'டென் ஹவர்ஸ்' படத்தின் ஸ்னீக் பீக் வீடியோவை வெளியிட்ட மாரி செல்வராஜ், சினிமா 
தொகுப்பாளினி பிரியங்காவுக்கு 2-வது திருமணம்: வைரலாகும் புகைப்படம், சினிமா 
